id,name,pop,german hip hop,dance pop,pop urbaine,french hip hop,latin,reggaeton,trap latino,rap,hip hop
4IWBUUAFIplrNtaOHcJPRM,James Arthur,1,0,0,0,0,0,0,0,0,0
4CAsSAU842glNKJX71ndA9,Louise Attaque,0,0,0,0,0,0,0,0,0,0
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,0,0,0,0,0,0,0,0,0,0
246dkjvS1zLTtiykXe5h60,Post Malone,0,0,0,0,0,0,0,0,1,0
1RyvyyTE3xzB2ZywiAwp0i,Future,0,0,0,0,0,0,0,0,1,1
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,0,0,0,0,0,1,1,1,0,0
7eLcDZDYHXZCebtQmVFL25,Aitana,0,0,0,0,0,0,0,0,0,0
4SsVbpTthjScTS7U2hmr1X,Arcangel,0,0,0,0,0,1,1,1,0,0
6Te49r3A6f5BiIgBRxH7FH,Ninho,0,0,0,1,1,0,0,0,0,0
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,0,0,0,0,0,0,0,0,0,0
5N3YDBGT2gUzXgLDTwPRi5,Álvaro De Luna,0,0,0,0,0,0,0,0,0,0
3MZsBdqDrRTJihTHQrO6Dq,Joji,0,0,0,0,0,0,0,0,0,0
0FwnPHExlRRxEZPLAi5tmG,JC Reyes,0,0,0,0,0,0,0,1,0,0
4sbXXFzEWJY2zsZjelerjX,Dadju,0,0,0,1,1,0,0,0,0,0
6L34dW6SKMSDaGIfYDU19j,Maes,0,0,0,1,1,0,0,0,0,0
3pjq2pDV9RR6VY55wBjVnp,Dardan,0,1,0,0,0,0,0,0,0,0
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,0,0,0,0,0,0,0,0,0,0
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,1,0,0,0,0,0,0,0,0,0
4q3ewBCX7sLwd24euuV69X,Bad Bunny,0,0,0,0,0,1,1,1,0,0
1i8SpTcr7yvPOmcqrbnVXY,Ozuna,0,0,0,0,0,1,1,1,0,0
0lAWpj5szCSwM4rUMHYmrr,Måneskin,0,0,0,0,0,0,0,0,0,0
1ul8iLt2WnFe2UIyovjg7q,reezy,0,1,0,0,0,0,0,0,0,0
76dRoxKtDwYkgCQePok9cU,Miksu / Macloud,0,1,0,0,0,0,0,0,0,0
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller,1,0,0,0,0,0,0,0,0,0
4F4pp8NUW08JuXwnoxglpN,Bad Gyal,0,0,0,0,0,0,0,1,0,0
0VlrorDSkEbLK1D6VvMgd2,Rubi,0,0,0,0,0,0,0,0,0,0
2LRoIwlKmHjgvigdNGBHNo,Feid,0,0,0,0,0,1,1,0,0,0
77ziqFxp5gaInVrF2lj4ht,Sech,0,0,0,0,0,1,1,1,0,0
2Z9KL8Zmqx5Sg3cd7Fldhl,Olexesh,0,1,0,0,0,0,0,0,0,0
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,0,0,0,0,0,0,0,0,0,0
3VHAySZQPlfGlNLslzXYpN,Nathy Peluso,0,0,0,0,0,0,0,0,0,0
1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,0,1,0,0,0,0,0,0,0,0
6k8mwkKJKKjBILo7ypBspl,Ana Mena,0,0,0,0,0,0,0,0,0,0
0EFisYRi20PTADoJrifHrz,Jhay Cortez,0,0,0,0,0,1,1,1,0,0
5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,1,0,1,0,0,0,0,0,0,0
5KNNVgR6LBIABRIomyCwKJ,Dermot Kennedy,1,0,0,0,0,0,0,0,0,0
5eioJDe26lOqkAMbuhzZYs,Gzuz,0,1,0,0,0,0,0,0,0,0
46pWGuE3dSwY3bMMXGBvVS,Rema,0,0,0,0,0,0,0,0,0,0
0ZHPrnImGh4re3TbSNkoZl,Beret,0,0,0,0,0,0,0,0,0,0
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",0,0,0,0,0,0,0,0,1,1
7c53ZFyajVMTo08HmvoB6b,zzoilo,0,0,0,0,0,0,0,0,0,0
0NGAZxHanS9e0iNHpR8f2W,Alok,0,0,0,0,0,0,0,0,0,0
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,0,0,0,0,0,1,1,0,0,0
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,1,0,0,0,0,0,0,0,1,0
34LetYSjEuG2fBb4Z8PwPg,Pashanim,0,1,0,0,0,0,0,0,0,0
2wY79sveU1sp5g7SokKOiI,Sam Smith,1,0,1,0,0,0,0,0,0,0
2ctUnxn4qlNB9rYMyKJuMf,Ikke Hüftgold,0,0,0,0,0,0,0,0,0,0
3Isy6kedDrgPYoTS1dazA9,Sean Paul,0,0,1,0,0,0,0,0,0,0
360IAlyVv4PCEVjgyMZrxK,Miguel,1,0,1,0,0,0,0,0,0,0
5ZY4M2aGiTaZQEP6HfqeJc,Montez,0,1,0,0,0,0,0,0,0,0
7uK2QScoOUkqq8tvtvBIL7,Endzone,0,1,0,0,0,0,0,0,0,0
2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,0,0,0,0,0,0,0,0,0,0
5MynxBz4ZMqvUzpcxTZl4C,Therapie TAXI,0,0,0,0,0,0,0,0,0,0
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,0,0,0,0,0,0,0,0,1,0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,1,0,1,0,0,0,0,0,0,0
2txHhyCwHjUEpJjWrEyqyX,Tom Odell,1,0,0,0,0,0,0,0,0,0
790FomKkXshlbRYZFtlgla,KAROL G,0,0,0,0,0,1,1,1,0,0
3Mn6d673ieRza7uw6zY2Zv,Hava,0,1,0,0,0,0,0,0,0,0
4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,0,0,0,0,0,0,0,0,0,0
0AqlFI0tz2DsEoJlKSIiT9,Emilia,0,0,0,0,0,0,0,0,0,0
6zlR5ttMfMNmwf2lecU9Cc,Sam Fender,0,0,0,0,0,0,0,0,0,0
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,0,0,0,0,0,0,0,0,0,0
7dGJo4pcD2V6oG8kP0tJRR,Eminem,0,0,0,0,0,0,0,0,1,1
3PhoLpVuITZKcymswpck5b,Elton John,0,0,0,0,0,0,0,0,0,0
7CajNmpbOovFoOoasH2HaY,Calvin Harris,0,0,1,0,0,0,0,0,0,0
2DaxqgrOhkeH0fpeiQq2f4,Oasis,0,0,0,0,0,0,0,0,0,0
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,1,0,1,0,0,0,0,0,0,0
5hREZP0zTQbTLkZ2M8RS4v,Djadja & Dinaz,0,0,0,1,1,0,0,0,0,0
3TVXtAsR1Inumwj472S9r4,Drake,0,0,0,0,0,0,0,0,1,1
57vWImR43h4CaDao012Ofp,Steve Lacy,0,0,0,0,0,0,0,0,0,0
7hIqJfRYGBWWT1Qxu6Cpd2,Andy Rivera,0,0,0,0,0,1,1,0,0,0
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,0,0,0,0,0,0,0,0,0,1
1bAftSH8umNcGZ0uyV7LMg,Duki,0,0,0,0,0,0,0,1,0,0
6ARKr2ZoLf9TDoQiZarJMt,makko,0,1,0,0,0,0,0,0,0,0
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,1,0,1,0,0,0,0,0,0,0
7vXDAI8JwjW531ouMGbfcp,TINI,0,0,0,0,0,0,0,0,0,0
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,0,0,0,0,0,0,0,0,0,0
1bpI6QDUqmfKmV0Tlhj0Jm,Pajel,0,1,0,0,0,0,0,0,0,0
2FXC3k01G6Gw61bmprjgqS,Hozier,1,0,0,0,0,0,0,0,0,0
2f7f3AmL16mmiAmYnxmmfx,Provinz,0,0,0,0,0,0,0,0,0,0
7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,1,0,0,0,0,0,0,0,0,0
2R21vXR83lH98kGeO99Y66,Anuel AA,0,0,0,0,0,1,1,0,0,0
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,1,0,0,0,0,0,0,0,0,0
0GOx72r5AAEKRGQFn3xqXK,GIMS,0,0,0,0,1,0,0,0,0,0
1QPdp5duV6lV4XINCzjwQ2,Dinos,0,0,0,1,1,0,0,0,0,0
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,0,0,0,0,0,0,0,0,0,0
4lR4w01uPOblBqpIAzuCzL,Noah,0,1,0,0,0,0,0,0,0,0
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,0,0,0,0,0,0,0,0,1,1
7oWrEQO1d3klp0Qrfh7a5h,badmómzjay,0,1,0,0,0,0,0,0,0,0
5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,0,1,0,0,0,0,0,0,0,0
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,0,1,0,0,0,0,0,0,0,0
3tVQdUvClmAT7URs9V3rsp,WizKid,0,0,0,0,0,0,0,0,0,0
4WZGDpNwrC0vNQyl9QzF7d,Capital Bra,0,1,0,0,0,0,0,0,0,0
37czgDRfGMvgRiUKHvnnhj,Öwnboss,0,0,0,0,0,0,0,0,0,0
5Y5EJ20jDQkkB213zwuDXR,menace Santana,0,0,0,0,0,0,0,0,0,0
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,0,0,0,1,1,0,0,0,0,0
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,0,0,0,0,0,0,0,0,0,0
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,1,0,0,0,0,0,0,0,0,0
4PFgfReja3r59JaekHpeuf,El Taiger,0,0,0,0,0,0,0,0,0,0
5wyWp867LWGjFmYZXVSFnZ,MERO,0,1,0,0,0,0,0,0,0,0
5SXuuuRpukkTvsLuUknva1,Baby Keem,0,0,0,0,0,0,0,0,1,1
4FpJcNgOvIpSBeJgRg3OfN,Orelsan,0,0,0,0,1,0,0,0,0,0
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,1,0,1,0,0,0,0,0,0,0
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,1,0,1,0,0,0,0,0,0,0
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,0,0,0,0,0,0,0,0,0,0
2EFpb61Lpi0l5ldOiqbZkK,Landy,0,0,0,1,1,0,0,0,0,0
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,0,0,1,0,0,0,0,0,0,0
67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,1,0,0,0,0,0,0,0,0,0
2UwqpfQtNuhBwviIC0f2ie,Damso,0,0,0,1,1,0,0,0,0,0
0tmwSHipWxN12fsoLcFU3B,Manuel Turizo,0,0,0,0,0,1,1,0,0,0
6olE6TJLqED3rqDCT0FyPh,Nirvana,0,0,0,0,0,0,0,0,0,0
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,1,0,0,0,0,0,0,0,0,0
3mmI5HKArDwgggj4j0aJyC,BHZ,0,1,0,0,0,0,0,0,0,0
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1,0,0,0,0,0,0,0,0,0
3IW7ScrzXmPvZhB27hmfgy,Jul,0,0,0,0,0,0,0,0,0,0
4Yttlv9ndGjCDCVLqM7ACq,Sido,0,1,0,0,0,0,0,0,0,0
6HCBnyTBSLdb3TFn2ayulY,Leto,0,0,0,1,1,0,0,0,0,0
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,1,0,0,0,0,0,0,0,0,0
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,1,0,1,0,0,0,0,0,0,0
19u3RGWKsjmbg9eI6zAiNp,13 Organisé,0,0,0,1,1,0,0,0,0,0
14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,0,0,0,0,0,1,1,1,0,0
5tHiL8SKSaZGMBUPIiSmX4,KitschKrieg,0,1,0,0,0,0,0,0,0,0
7GDrXlpRrdG29o4n0pNR5D,Bru-C,0,0,0,0,0,0,0,0,0,0
3CJKkU0XuElRT1z8rEtIYg,Luciano,0,1,0,0,0,0,0,0,0,0
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,0,0,0,0,0,0,0,0,1,0
