iso3,date,life_expectancy,fertility
BRB,2006,78.009,1.775
BRB,2007,78.097,1.757
BRB,2008,78.184,1.735
BRB,2009,78.272,1.711
BRB,2010,78.364,1.687
BRB,2011,78.456,1.665
BRB,2012,78.547,1.645
BRB,2013,78.633,1.63
BRB,2014,78.717,1.62
BRB,2015,78.801,1.614
BRB,2016,78.888,1.613
BRB,2017,78.981,1.615
BRB,2018,79.081,1.619
BRB,2019,79.19,1.623
BRB,2020,79.308,1.628
BRN,2000,72.809,2.346
BRN,2001,73.076,2.284
BRN,2002,73.332,2.22
BRN,2003,73.575,2.154
BRN,2004,73.801,2.086
BRN,2005,74.006,2.022
BRN,2006,74.189,1.969
BRN,2007,74.351,1.933
BRN,2008,74.494,1.918
BRN,2009,74.623,1.921
BRN,2010,74.74,1.937
BRN,2011,74.852,1.957
BRN,2012,74.962,1.973
BRN,2013,75.075,1.978
BRN,2014,75.193,1.969
BRN,2015,75.318,1.947
BRN,2016,75.45,1.915
BRN,2017,75.585,1.881
BRN,2018,75.722,1.848
BRN,2019,75.86,1.819
BRN,2020,75.998,1.796
BTN,2000,60.884,3.515
BTN,2001,61.808,3.342
BTN,2002,62.728,3.183
BTN,2003,63.624,3.037
BTN,2004,64.483,2.906
BTN,2005,65.289,2.788
BTN,2006,66.031,2.679
BTN,2007,66.709,2.577
BTN,2008,67.325,2.48
BTN,2009,67.882,2.387
BTN,2010,68.384,2.301
BTN,2011,68.84,2.224
BTN,2012,69.263,2.159
BTN,2013,69.662,2.107
BTN,2014,70.046,2.067
BTN,2015,70.419,2.037
BTN,2016,70.781,2.014
BTN,2017,71.129,1.994
BTN,2018,71.46,1.975
BTN,2019,71.777,1.954
BTN,2020,72.08,1.931
BWA,2000,50.629,3.304
BWA,2001,50.281,3.248
BWA,2002,50.232,3.2
BWA,2003,50.518,3.159
BWA,2004,51.15,3.122
BWA,2005,52.13,3.091
BWA,2006,53.435,3.066
BWA,2007,54.983,3.047
BWA,2008,56.679,3.034
BWA,2009,58.447,3.026
BWA,2010,60.211,3.022
BWA,2011,61.91,3.017
BWA,2012,63.511,3.011
BWA,2013,64.976,3.002
BWA,2014,66.265,2.988
BWA,2015,67.338,2.968
BWA,2016,68.178,2.942
BWA,2017,68.812,2.91
BWA,2018,69.275,2.874
BWA,2019,69.592,2.836
BWA,2020,69.793,2.796
CAF,2000,44.19,5.5
CAF,2001,44.061,5.48
CAF,2002,44.063,5.459
CAF,2003,44.182,5.436
CAF,2004,44.413,5.411
CAF,2005,44.744,5.383
CAF,2006,45.158,5.353
CAF,2007,45.636,5.322
CAF,2008,46.161,5.289
CAF,2009,46.719,5.254
CAF,2010,47.312,5.215
CAF,2011,47.95,5.172
CAF,2012,48.638,5.123
CAF,2013,49.371,5.068
CAF,2014,50.129,5.007
CAF,2015,50.881,4.941
CAF,2016,51.593,4.87
CAF,2017,52.24,4.796
CAF,2018,52.805,4.721
CAF,2019,53.283,4.645
CAF,2020,53.679,4.568
CAN,2000,79.1365853658537,1.51
CAN,2001,79.3390243902439,1.54
CAN,2002,79.490243902439,1.51
CAN,2003,79.7414634146342,1.54
CAN,2004,79.8926829268293,1.55
CAN,2005,80.1926829268293,1.57
CAN,2006,80.3439024390244,1.61
CAN,2007,80.5439024390244,1.66
CAN,2008,80.6951219512195,1.69
CAN,2009,80.9951219512195,1.68
CAN,2010,81.2463414634146,1.64
CAN,2011,81.4487804878049,1.62
CAN,2012,81.6487804878049,1.62
CAN,2013,81.7487804878049,1.6
CAN,2014,81.8,1.61
CAN,2015,81.9,1.6
CAN,2016,81.9,1.59
CAN,2017,81.9,1.54
CAN,2018,82.0487804878049,1.5
CAN,2019,82.0487804878049,1.47
CAN,2020,81.7487804878049,1.4
CHE,2000,79.6804878048781,1.5
CHE,2001,80.1804878048781,1.38
CHE,2002,80.3853658536585,1.39
CHE,2003,80.5365853658537,1.39
CHE,2004,81.0878048780488,1.42
CHE,2005,81.2365853658537,1.42
