"name","essround","edition","proddate","cntry","idno","intagea","intgndr","vdcond","resclq","resrelq","resbab","resundq","preintf","prewhp","presd","preppil","preorel","prenrel","predk","prenap","prena","intlnga","intnum"
"ESS11inte02",11,"2.0","19.11.2024","AT",75191,56,2,1,1,2,5,5,2,,,,,,,1,0,"GER",2248
"ESS11inte02",11,"2.0","19.11.2024","AT",75220,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2526
"ESS11inte02",11,"2.0","19.11.2024","AT",75222,53,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3217
"ESS11inte02",11,"2.0","19.11.2024","AT",75240,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2526
"ESS11inte02",11,"2.0","19.11.2024","AT",75248,55,1,1,3,3,4,4,2,,,,,,,1,0,"GER",2410
"ESS11inte02",11,"2.0","19.11.2024","AT",75255,54,2,1,2,1,5,5,2,,,,,,,1,0,"GER",3092
"ESS11inte02",11,"2.0","19.11.2024","AT",75264,48,1,1,1,2,5,3,2,,,,,,,1,0,"GER",2957
"ESS11inte02",11,"2.0","19.11.2024","AT",75286,71,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3382
"ESS11inte02",11,"2.0","19.11.2024","AT",75289,43,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3266
"ESS11inte02",11,"2.0","19.11.2024","AT",75305,65,2,1,1,3,4,4,2,,,,,,,1,0,"GER",3157
"ESS11inte02",11,"2.0","19.11.2024","AT",75331,48,2,1,2,1,5,4,2,,,,,,,1,0,"GER",2348
"ESS11inte02",11,"2.0","19.11.2024","AT",75406,57,2,1,2,2,5,5,2,,,,,,,1,0,"GER",3008
"ESS11inte02",11,"2.0","19.11.2024","AT",75411,71,1,1,1,1,5,5,2,,,,,,,1,0,"GER",3382
"ESS11inte02",11,"2.0","19.11.2024","AT",75413,59,1,2,2,3,5,5,2,,,,,,,1,0,"GER",3039
"ESS11inte02",11,"2.0","19.11.2024","AT",75414,57,2,2,1,2,5,5,2,,,,,,,1,0,"GER",3008
"ESS11inte02",11,"2.0","19.11.2024","AT",75443,56,2,1,3,2,5,5,2,,,,,,,1,0,"GER",3137
"ESS11inte02",11,"2.0","19.11.2024","AT",75451,63,2,1,2,2,5,4,2,,,,,,,1,0,"GER",3158
"ESS11inte02",11,"2.0","19.11.2024","AT",75469,57,1,1,3,2,5,5,2,,,,,,,1,0,"GER",2982
"ESS11inte02",11,"2.0","19.11.2024","AT",75479,69,1,1,1,1,5,5,2,,,,,,,1,0,"GER",2457
"ESS11inte02",11,"2.0","19.11.2024","AT",75483,54,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3092
"ESS11inte02",11,"2.0","19.11.2024","AT",75488,76,1,1,1,3,4,4,2,,,,,,,1,0,"GER",3124
"ESS11inte02",11,"2.0","19.11.2024","AT",75498,62,2,1,1,1,5,5,2,,,,,,,1,0,"GER",3426
"ESS11inte02",11,"2.0","19.11.2024","AT",75499,53,1,1,3,3,4,5,2,,,,,,,1,0,"GER",3212
"ESS11inte02",11,"2.0","19.11.2024","AT",75510,55,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2526
"ESS11inte02",11,"2.0","19.11.2024","AT",75512,72,2,1,1,1,5,5,2,,,,,,,1,0,"GER",2244
"ESS11inte02",11,"2.0","19.11.2024","AT",75530,64,1,1,2,2,5,5,2,,,,,,,1,0,"GER",3504
"ESS11inte02",11,"2.0","19.11.2024","AT",75547,68,2,1,3,1,5,5,2,,,,,,,1,0,"GER",2699
"ESS11inte02",11,"2.0","19.11.2024","AT",75561,77,1,1,2,1,5,5,2,,,,,,,1,0,"GER",2492
